Time (h);U1 (V);U2 (V);U3 (V);U4 (V);U5 (V);Utot (V);J (A/cmｲ);I (A);TinH2 (ｰC);ToutH2 (ｰC);TinAIR (ｰC);ToutAIR (ｰC);TinWAT (ｰC);ToutWAT (ｰC);PinAIR (mbara);PoutAIR (mbara);PoutH2 (mbara);PinH2 (mbara);DinH2 (l/mn);DoutH2 (l/mn);DinAIR (l/mn);DoutAIR (l/mn);DWAT (l/mn);HrAIRFC (%)
505,1558708;0,654;0,648;0,648;0,647;0,635;3,182;0,70066;70,066;27,073;40,359;46,845;50,49;53,212;54,854;1301,92;1270,057;1317,523;1306,102;4,794;2,171;23,038;21,204;2,019;53,488
505,1562147;0,654;0,648;0,648;0,647;0,635;3,181;0,70066;70,066;27,075;40,353;46,842;50,525;53,212;54,851;1302,204;1269,943;1317,124;1305,647;4,795;2,171;23,034;21,206;1,989;53,543
505,1565369;0,654;0,648;0,648;0,647;0,635;3,182;0,70061;70,061;27,081;40,352;46,839;50,524;53,211;54,861;1301,863;1270,057;1317,01;1305,362;4,794;2,171;23,034;21,202;2;53,516
505,1568708;0,654;0,648;0,648;0,647;0,635;3,182;0,70066;70,066;27,09;40,341;46,858;50,525;53,215;54,863;1302,034;1270,285;1316,04;1304,792;4,8;2,171;23,038;21,202;1,969;53,535
505,157205;0,654;0,648;0,648;0,647;0,635;3,182;0,70061;70,061;27,073;40,349;46,854;50,53;53,215;54,871;1302,147;1270,285;1315,983;1304,223;4,795;2,171;23,036;21,202;1,993;53,523
505,1575353;0,654;0,648;0,648;0,647;0,635;3,181;0,70061;70,061;27,072;40,329;46,847;50,519;53,207;54,86;1301,749;1270,114;1315,356;1303,71;4,795;2,171;23,034;21,206;2,008;53,516
505,1578683;0,654;0,648;0,648;0,647;0,635;3,181;0,70061;70,061;27,092;40,331;46,835;50,507;53,209;54,859;1302,147;1270,626;1314,843;1303,596;4,794;2,171;23,089;21,202;1,967;53,517
505,1582067;0,654;0,648;0,648;0,648;0,635;3,182;0,70061;70,061;27,084;40,328;46,844;50,486;53,2;54,859;1302,204;1270,342;1314,672;1302,799;4,795;2,192;23,036;21,202;1,959;53,519
505,1585367;0,654;0,648;0,648;0,647;0,635;3,181;0,70061;70,061;27,086;40,317;46,838;50,522;53,209;54,863;1301,749;1270,114;1313,873;1302,514;4,814;2,194;23,034;21,202;1,991;53,53
505,1588792;0,654;0,648;0,648;0,648;0,635;3,181;0,70051;70,051;27,093;40,325;46,845;50,521;53,209;54,868;1302,034;1270,114;1313,645;1301,659;4,797;2,192;23,036;21,2;2,006;53,526
505,1592039;0,654;0,648;0,648;0,647;0,635;3,181;0,70056;70,056;27,093;40,314;46,828;50,516;53,215;54,866;1301,294;1269,943;1312,961;1301,375;4,794;2,192;23,036;21,202;2,016;53,444
505,1595372;0,654;0,648;0,648;0,648;0,635;3,182;0,70056;70,056;27,098;40,32;46,836;50,525;53,218;54,863;1301,863;1270;1312,562;1301,204;4,795;2,193;23,038;21,215;1,995;53,517
505,1598717;0,654;0,648;0,648;0,648;0,635;3,182;0,70046;70,046;27,098;40,305;46,827;50,536;53,224;54,859;1301,92;1270,228;1312,391;1300,292;4,795;2,193;23,034;21,204;1,966;53,537
505,160205;0,654;0,648;0,648;0,647;0,635;3,182;0,70046;70,046;27,089;40,313;46,838;50,538;53,238;54,858;1302,147;1270,512;1311,535;1300,122;4,815;2,193;23,036;21,211;1,979;53,495
505,1605361;0,654;0,648;0,648;0,648;0,635;3,182;0,70051;70,051;27,087;40,287;46,822;50,528;53,221;54,857;1302,261;1270,512;1311,25;1299,438;4,795;2,193;23,036;21,2;1,981;53,475
505,1608736;0,654;0,648;0,648;0,647;0,635;3,18;0,70037;70,037;27,098;40,275;46,822;50,536;53,221;54,856;1302,261;1270,626;1310,965;1299,039;4,796;2,194;23,034;21,209;1,984;53,501
505,1612053;0,654;0,648;0,647;0,647;0,635;3,181;0,70046;70,046;27,098;40,261;46,818;50,546;53,224;54,86;1302,261;1270,512;1310,281;1298,128;4,796;2,213;23,038;21,208;2,012;53,51
505,1615364;0,654;0,648;0,648;0,648;0,636;3,182;0,70037;70,037;27,104;40,273;46,828;50,578;53,233;54,869;1302,375;1270,967;1309,311;1297,957;4,811;2,193;23,036;21,204;1,981;53,452
505,1618692;0,654;0,648;0,648;0,647;0,635;3,182;0,70051;70,051;27,101;40,276;46,819;50,55;53,234;54,872;1302,546;1270,74;1309,14;1297,445;4,816;2,213;23,112;21,208;1,991;53,483
505,1622053;0,654;0,648;0,648;0,647;0,635;3,182;0,70032;70,032;27,093;40,275;46,818;50,569;53,25;54,877;1302,887;1271,024;1308,456;1296,761;4,81;2,213;23,036;21,204;2,001;53,464
505,1625375;0,654;0,648;0,648;0,647;0,635;3,181;0,70027;70,027;27,093;40,279;46,815;50,552;53,236;54,872;1302,546;1271,024;1307,999;1296,078;4,794;2,213;23,034;21,206;1,966;53,481
505,1628697;0,654;0,648;0,647;0,647;0,635;3,18;0,70017;70,017;27,105;40,271;46,818;50,559;53,238;54,882;1302,944;1270,911;1307,087;1295,679;4,797;2,213;23,034;21,204;1,981;53,467
505,1632092;0,654;0,648;0,648;0,647;0,635;3,18;0,70012;70,012;27,11;40,26;46,796;50,554;53,256;54,874;1302,944;1271,024;1306,859;1294,881;4,794;2,212;23,036;21,2;1,984;53,461
505,1635481;0,654;0,648;0,648;0,647;0,635;3,182;0,70017;70,017;27,11;40,266;46,807;50,554;53,259;54,883;1303,114;1270,854;1305,946;1294,54;4,795;2,213;23,036;21,208;1,991;53,46
505,1638697;0,654;0,648;0,648;0,647;0,635;3,182;0,70022;70,022;27,115;40,26;46,796;50,548;53,259;54,865;1303,114;1271,024;1305,775;1294,54;4,814;2,213;23,034;21,191;1,985;53,513
505,1642028;0,654;0,648;0,649;0,647;0,635;3,182;0,70032;70,032;27,112;40,249;46,801;50,535;53,252;54,875;1302,773;1270,911;1305,262;1293,799;4,796;2,214;23,036;21,208;1,992;53,488
505,1645364;0,654;0,648;0,648;0,647;0,635;3,181;0,70017;70,017;27,099;40,232;46,798;50,577;53,267;54,888;1303,399;1271,081;1304,578;1293,344;4,794;2,214;23,036;21,2;2,001;53,484
505,1648722;0,654;0,648;0,648;0,647;0,635;3,182;0,69993;69,993;27,108;40,254;46,792;50,584;53,268;54,898;1303,001;1271,138;1303,779;1292,831;4,794;2,215;23,036;21,213;1,997;53,492
505,1652028;0,654;0,648;0,648;0,647;0,635;3,181;0,69988;69,988;27,105;40,25;46,798;50,583;53,288;54,926;1302,773;1270,854;1303,551;1292,261;4,795;2,211;23,036;21,198;1,991;53,448
505,1655361;0,654;0,648;0,648;0,647;0,635;3,182;0,70002;70,002;27,093;40,228;46,802;50,528;53,278;54,898;1303,285;1271,081;1303,323;1291,692;4,794;2,205;23,036;21,208;1,994;53,476
505,1658714;0,654;0,648;0,648;0,647;0,635;3,18;0,70022;70,022;27,121;40,232;46,796;50,556;53,287;54,899;1303,057;1271,764;1302,353;1291,122;4,795;2,193;23,034;21,166;2,002;53,487
505,1662047;0,654;0,648;0,648;0,647;0,635;3,181;0,69993;69,993;27,113;40,24;46,793;50,517;53,275;54,91;1303,342;1271,537;1302,068;1291,008;4,794;2,192;23,036;21,143;1,997;53,47
505,1665372;0,654;0,648;0,648;0,647;0,635;3,18;0,70007;70,007;27,107;40,228;46,804;50,558;53,301;54,934;1303,057;1271,366;1301,669;1290,382;4,798;2,193;23,038;21,208;1,949;53,388
505,1668703;0,654;0,648;0,648;0,647;0,635;3,181;0,69973;69,973;27,092;40,215;46,804;50,513;53,289;54,933;1303,001;1271,138;1301,156;1289,869;4,815;2,192;23,036;21,198;1,954;53,327
505,1672039;0,654;0,648;0,648;0,647;0,635;3,179;0,69988;69,988;27,119;40,21;46,81;50,531;53,31;54,913;1302,773;1271,024;1301,042;1289,869;4,816;2,192;23,036;21,202;1,981;53,436
505,1675375;0,654;0,648;0,648;0,647;0,635;3,181;0,69993;69,993;27,116;40,202;46,801;50,517;53,311;54,899;1302,887;1270,797;1300,3;1289,072;4,797;2,193;23,034;21,181;1,997;53,424
505,1678708;0,654;0,648;0,648;0,647;0,635;3,179;0,69983;69,983;27,134;40,19;46,804;50,535;53,311;54,911;1303,114;1270,967;1300,072;1288,844;4,794;2,193;23,034;21,208;1,991;53,448
505,1682036;0,654;0,648;0,648;0,647;0,635;3,18;0,69978;69,978;27,121;40,179;46,799;50,542;53,306;54,921;1303,228;1270,74;1300,015;1288,16;4,793;2,185;23,036;21,143;1,978;53,387
505,1685378;0,653;0,648;0,648;0,647;0,635;3,181;0,69983;69,983;27,121;40,186;46,801;50,54;53,316;54,949;1303,399;1271,195;1299,787;1287,705;4,796;2,17;23,032;21,196;2,008;53,324
505,1688728;0,654;0,648;0,648;0,647;0,635;3,181;0,69983;69,983;27,116;40,17;46,815;50,551;53,318;54,956;1303,171;1270,967;1299,16;1287,648;4,794;2,17;23,036;21,206;2,015;53,397
505,1692072;0,654;0,648;0,648;0,647;0,635;3,18;0,69973;69,973;27,119;40,178;46,813;50,553;53,32;54,949;1303,456;1271,081;1298,932;1287,306;4,795;2,172;23,038;21,206;2,012;53,387
505,1695367;0,654;0,649;0,648;0,647;0,635;3,181;0,69978;69,978;27,118;40,157;46,798;50,544;53,317;54,952;1303,513;1271,081;1298,818;1286,793;4,815;2,171;23,038;21,141;2,006;53,312
505,1698711;0,654;0,649;0,648;0,647;0,635;3,18;0,69983;69,983;27,124;40,159;46,806;50,557;53,33;54,969;1303,74;1271,309;1298,704;1286,565;4,802;2,171;23,036;21,204;1,975;53,329
505,1702061;0,653;0,648;0,648;0,647;0,635;3,18;0,69963;69,963;27,122;40,167;46,799;50,574;53,327;54,959;1303,456;1271,48;1298,361;1286,452;4,796;2,171;23,036;21,154;1,976;53,319
505,1705381;0,654;0,649;0,648;0,647;0,635;3,18;0,69983;69,983;27,119;40,142;46,81;50,58;53,326;54,973;1303,513;1271,252;1297,905;1286,281;4,795;2,171;23,036;21,211;1,976;53,306
505,1708742;0,654;0,648;0,648;0,647;0,635;3,18;0,69968;69,968;27,122;40,151;46,802;50,585;53,337;54,975;1303,399;1271,138;1297,677;1285,483;4,797;2,171;23,036;21,2;1,995;53,301
505,1712072;0,654;0,648;0,648;0,647;0,635;3,181;0,69973;69,973;27,121;40,127;46,798;50,588;53,334;54,993;1303,456;1271,252;1297,449;1285,369;4,797;2,17;23,036;21,206;2,009;53,285
505,1715378;0,654;0,649;0,647;0,647;0,635;3,18;0,69968;69,968;27,125;40,119;46,799;50,6;53,344;54,979;1303,683;1271,366;1297,05;1285,312;4,795;2,17;23,034;21,209;1,982;53,225
505,1718739;0,654;0,648;0,648;0,647;0,635;3,181;0,69978;69,978;27,128;40,124;46,796;50,594;53,34;54,993;1303,456;1271,252;1296,708;1284,515;4,795;2,15;23,036;21,2;1,996;53,252
505,1722069;0,654;0,649;0,648;0,647;0,635;3,181;0,69968;69,968;27,125;40,115;46,81;50,603;53,355;54,987;1303,854;1271,423;1296,651;1284,344;4,775;2,149;23,036;21,139;1,985;53,189
505,1725403;0,654;0,648;0,648;0,647;0,635;3,181;0,69968;69,968;27,127;40,097;46,81;50,588;53,349;54,993;1303,74;1271,48;1296,594;1284,287;4,793;2,146;23,034;21,139;1,997;53,286
505,1728828;0,653;0,648;0,648;0,647;0,635;3,181;0,69968;69,968;27,121;40,091;46,81;50,591;53,358;54,993;1303,513;1271,138;1296,594;1284,344;4,812;2,129;23,043;21,208;1,977;53,258
505,1732053;0,654;0,648;0,648;0,647;0,635;3,181;0,69978;69,978;27,128;40,076;46,806;50,6;53,34;54,987;1303,399;1271,081;1296,194;1284,116;4,796;2,13;23,036;21,208;1,974;53,205
505,1735386;0,653;0,648;0,648;0,647;0,635;3,182;0,69968;69,968;27,127;40,076;46,813;50,6;53,364;54,993;1303,399;1271,081;1296,08;1284,23;4,796;2,126;23,1;21,173;1,989;53,262
505,1738786;0,653;0,648;0,648;0,647;0,635;3,18;0,69963;69,963;27,136;40,067;46,809;50,611;53,355;54,99;1303,74;1271,48;1295,852;1283,945;4,796;2,129;23,036;21,209;2,002;53,26
505,1742047;0,654;0,649;0,648;0,647;0,635;3,181;0,69968;69,968;27,124;40,064;46,812;50,603;53,367;55,008;1303,399;1271,081;1295,738;1284,002;4,795;2,129;23,038;21,209;2,006;53,223
505,1745392;0,653;0,648;0,648;0,648;0,635;3,181;0,69973;69,973;27,147;40,059;46,809;50,624;53,367;55,009;1303,399;1271,593;1295,738;1283,831;4,795;2,11;23,036;21,208;1,997;53,193
505,1748706;0,654;0,648;0,648;0,648;0,635;3,182;0,69968;69,968;27,121;40,064;46,825;50,6;53,37;55,005;1303,399;1271,366;1295,852;1284,002;4,793;2,11;23,036;21,202;1,995;53,193
505,1752047;0,653;0,648;0,648;0,647;0,635;3,182;0,69963;69,963;27,133;40,049;46,819;50,611;53,367;55,014;1303,456;1271,764;1295,966;1283,888;4,794;2,11;23,036;21,135;1,982;53,205
505,1755408;0,653;0,648;0,648;0,648;0,635;3,181;0,69968;69,968;27,118;40,046;46,809;50,629;53,375;55,017;1303,569;1271,593;1295,852;1284,002;4,794;2,11;23,034;21,143;1,973;53,176
505,1758714;0,653;0,649;0,648;0,647;0,635;3,18;0,69968;69,968;27,136;40,028;46,825;50,62;53,375;55,005;1305,503;1273,87;1295,51;1284,002;4,794;2,112;23,036;20,995;1,996;53,281
505,1762067;0,653;0,648;0,648;0,647;0,635;3,181;0,69963;69,963;27,128;40,057;46,813;50,626;53,372;54,995;1306,641;1274,553;1296,08;1284,116;4,795;2,111;23,036;20,968;1,991;53,307
505,1765394;0,653;0,649;0,648;0,647;0,635;3,181;0,69963;69,963;27,133;40,027;46,828;50,625;53,374;55,03;1307,437;1275,634;1296,251;1284,287;4,794;2,096;23,034;20,999;1,969;53,212
505,1768717;0,654;0,649;0,648;0,648;0,635;3,182;0,69963;69,963;27,139;40,016;46,833;50,631;53,372;55,016;1306,413;1274,325;1296,251;1284,173;4,797;2,089;23,036;21,202;1,955;53,264
505,1772044;0,653;0,648;0,648;0,648;0,635;3,182;0,69968;69,968;27,131;40,004;46,816;50,634;53,378;55,022;1305,731;1273,073;1296,08;1284,287;4,795;2,09;23,036;21,261;1,994;53,19
505,1775372;0,654;0,649;0,649;0,648;0,636;3,182;0,69968;69,968;27,131;39,998;46,833;50,638;53,375;54,99;1304,991;1272,276;1296,251;1284,173;4,797;2,091;23,034;21,272;2,002;53,229
505,1778808;0,653;0,649;0,648;0,647;0,635;3,182;0,69963;69,963;27,138;39,987;46,833;50,654;53,388;55,023;1304,366;1271,309;1296,422;1284,287;4,795;2,09;23,036;21,297;2,004;53,21
505,1782047;0,653;0,649;0,648;0,648;0,635;3,181;0,69963;69,963;27,147;39,994;46,835;50,64;53,389;55,018;1302,716;1269,886;1296,479;1284,23;4,796;2,091;23,032;21,331;2,002;53,212
505,1785392;0,653;0,648;0,648;0,647;0,635;3,181;0,69968;69,968;27,144;39,978;46,836;50,654;53,388;55,023;1302,147;1269,545;1296,479;1284,287;4,794;2,09;23,036;21,329;1,989;53,13
505,1788736;0,653;0,648;0,648;0,647;0,635;3,181;0,69963;69,963;27,141;39,999;46,83;50,654;53,394;55,029;1302,261;1268,976;1296,536;1284,401;4,794;2,09;23,034;21,331;1,99;53,146
505,1792053;0,653;0,648;0,648;0,648;0,635;3,18;0,69963;69,963;27,138;39,973;46,828;50,651;53,392;55,033;1301,18;1268,805;1296,594;1284,287;4,794;2,091;23,036;21,329;1,982;53,081
505,1795386;0,653;0,648;0,648;0,647;0,635;3,181;0,69954;69,954;27,148;39,961;46,824;50,66;53,412;55,033;1301,124;1268,407;1296,651;1284,401;4,795;2,09;23,036;21,266;2,01;53,041
505,1798733;0,653;0,648;0,648;0,647;0,635;3,181;0,69968;69,968;27,141;39,957;46,835;50,662;53,393;55,043;1300,725;1267,781;1296,765;1284,572;4,795;2,091;23,034;21,265;2,001;53,112
505,1802122;0,653;0,648;0,649;0,647;0,635;3,18;0,69963;69,963;27,147;39,976;46,828;50,669;53,403;55,041;1300,043;1267,325;1296,936;1285,028;4,795;2,091;23,034;21,266;1,994;53,096
505,1805436;0,653;0,648;0,648;0,647;0,635;3,18;0,69963;69,963;27,139;39,955;46,836;50,672;53,398;55,03;1299,815;1266,87;1297,164;1285,028;4,795;2,091;23,036;21,272;2,003;53,103
505,1808722;0,653;0,648;0,648;0,647;0,635;3,18;0,69968;69,968;27,131;39,966;46,83;50,674;53,417;55,058;1299,758;1266,7;1297,677;1285,141;4,797;2,078;23,036;21,268;2,001;52,994
505,1812067;0,653;0,648;0,648;0,647;0,635;3,178;0,69963;69,963;27,144;39,957;46,847;50,677;53,42;55,067;1298,848;1266,586;1297,164;1285,312;4,795;2,085;23,036;21,221;1,998;53,021
505,1815381;0,653;0,648;0,648;0,647;0,635;3,179;0,69963;69,963;27,147;39,954;46,832;50,686;53,432;55,067;1298,734;1265,618;1297,734;1285,483;4,795;2,09;23,036;21,209;2,001;53,001
505,1818728;0,652;0,648;0,648;0,647;0,635;3,179;0,69963;69,963;27,156;39,946;46,838;50,698;53,427;55,062;1298,507;1265,391;1297,734;1285,426;4,795;2,091;23,036;21,204;1,99;53,021
505,1822044;0,653;0,648;0,648;0,647;0,635;3,18;0,69963;69,963;27,156;39,933;46,847;50,689;53,435;55,082;1298,166;1265,334;1297,848;1285,597;4,815;2,089;23,034;21,211;1,995;53,078
505,1825386;0,653;0,648;0,648;0,647;0,635;3,18;0,69958;69,958;27,147;39,918;46,842;50,703;53,432;55,052;1297,824;1264,992;1297,848;1285,711;4,795;2,089;23,032;21,213;1,984;53,043
